,SSC_CODE_2016,SSC_NAME_2016,1st_language,2nd_language,3rd_language,Latitude,Longitude,Primary_school_ranking,Secondary_school_ranking,yr12_school_ranking,The median of Housing price (k Dollars)
0,12321,Lilli Pilli,24.0,17.0,15,-34.068333,151.115833,0,0,0,2400.0
1,14344,Wisemans Ferry,17.0,50.0,1,-33.381944,150.985,0,0,0,0.0
2,11213,Darlington,44.0,7.0,1,-33.890334,151.19661,0,0,0,1400.0
3,11392,Elderslie,16.0,23.0,52,-34.05462,150.7125,0,0,0,660.0
4,12273,Lansdowne,16.0,23.0,52,-31.783056,152.534444,0,0,0,0.0
5,12164,Kingswood,32.0,2.0,5,-33.759,150.72,0,0,0,0.0
6,13546,Silverwater,24.0,16.0,23,-33.8339902,151.0482995,0,0,0,950.0
7,10233,Baulkham Hills,32.0,7.0,28,-33.7619106,150.9929255,['5'],['6'],['9'],1200.0
8,10263,Bella Vista,32.0,20.0,45,-33.7385583,150.9502708,0,0,0,1700.0
9,11667,Glenhaven,24.0,2.0,32,-33.70547,151.00334,0,0,0,1600.0
10,10847,Castle Hill,32.0,7.0,28,-33.7311837,151.0042006,"['50,76']",0,['90'],1500.0
11,14249,West Pennant Hills,32.0,7.0,28,-33.7529959,151.0257317,0,0,0,1600.0
12,10898,Cherrybrook,32.0,7.0,28,-33.7251,151.04931,"['48,55']","['57,71']",['89'],1500.0
13,12088,Kellyville,32.0,7.0,20,-33.7111451,150.9550731,['90'],['64'],['99'],1200.0
14,12100,Kenthurst,24.0,2.0,32,-33.6693,151.00158,0,['63'],['85'],2300.0
15,11673,Glenorie,2.0,24.0,28,-33.60224,151.00247,0,0,0,1300.0
16,12500,Maroota,31.0,24.0,17,-33.4540456,150.9889238,0,0,0,0.0
17,10794,Canoelands,42.0,0.0,2,-33.50824,151.06178,0,0,0,0.0
18,10859,Cattai,50.0,15.0,31,-33.5561,150.91205,0,0,0,1200.0
19,13592,South Maroota,24.0,31.0,16,-33.5241,150.9485,0,0,0,0.0
20,11328,Dural,32.0,7.0,2,-33.682,151.029,0,0,"['71,94']",1500.0
21,13459,Sackville North,13.0,16.0,7,-33.481667,150.884722,0,0,0,0.0
22,12412,Lower Portland,32.0,16.0,23,-33.442,150.879,0,0,0,0.0
23,12603,Middle Dural,24.0,2.0,32,-33.6408817,151.0180269,0,0,0,2100.0
24,10062,Annangrove,24.0,31.0,9,-33.65255,150.94096,['29'],0,0,0.0
25,11582,Galston,24.0,2.0,32,-33.65,151.043,0,0,0,1300.0
26,10072,Arcadia,24.0,32.0,2,-33.62429,151.04455,0,0,0,1400.0
27,11513,Fiddletown,24.0,7.0,31,-33.60259,151.04984,0,0,0,0.0
28,10311,Berowra Waters,1.0,16.0,23,-33.602344,151.120659,0,0,0,0.0
29,10319,Berrilee,39.0,46.0,42,-33.61547,151.09811,0,0,0,0.0
30,11156,Cumberland Reach,17.0,32.0,16,-33.456,150.896,0,0,0,0.0
31,11785,Grose Vale,24.0,17.0,31,-33.584,150.674,0,0,0,1200.0
32,11786,Grose Wold,42.0,31.0,16,-33.598611,150.684722,0,0,0,1000.0
33,12218,Kurrajong,24.0,31.0,17,-33.55,150.6667,0,0,0,0.0
34,12220,Kurrajong Hills,12.0,39.0,2,-33.533333,150.65,0,0,0,0.0
35,12215,Kurmond,18.0,31.0,7,-33.551,150.69,0,0,0,0.0
36,13842,The Slopes,31.0,16.0,23,-33.5328009,150.7069125,0,0,0,0.0
37,11356,East Kurrajong,24.0,31.0,18,-33.515278,150.767778,0,0,0,0.0
38,14288,Wilberforce,31.0,24.0,42,-33.55944,150.84055,0,0,0,783.0
39,11564,Freemans Reach,31.0,7.0,1,-33.56146,150.79787,0,0,0,830.0
40,13458,Sackville,16.0,23.0,52,-33.4876359,150.8696588,0,0,0,0.0
41,11371,Ebenezer,31.0,28.0,17,-33.5318,150.8679,0,0,0,723.0
42,11684,Glossodia,31.0,24.0,18,-33.53432,150.78231,0,0,0,623.0
43,13789,Tennyson,31.0,28.0,16,-33.536944,150.7375,0,0,0,0.0
44,14076,Vineyard,31.0,7.0,24,-33.65021,150.85619,0,0,0,1600.0
45,12542,McGraths Hill,42.0,17.0,24,-33.61939,150.84304,0,0,0,0.0
46,12484,Maraylya,31.0,2.0,24,-33.59775,150.91609,0,0,0,828.0
47,13060,Oakville,31.0,2.0,9,-33.6222,150.8669,0,0,0,1800.0
48,13226,Pitt Town,31.0,44.0,17,-33.5816502,150.8667511,0,0,0,1100.0
49,13227,Pitt Town Bottoms,7.0,31.0,13,-33.5840997,150.8463985,0,0,0,0.0
50,13429,Rouse Hill,32.0,44.0,2,-33.68162,150.91552,0,0,0,923.0
51,10243,Beaumont Hills,32.0,20.0,7,-33.7,150.941,0,0,0,1100.0
52,12922,Nelson,31.0,2.0,24,-32.715,152.151111,0,0,0,0.0
53,10539,Box Hill,31.0,24.0,18,-33.65,150.88,0,0,0,700.0
54,10397,Blacktown,38.0,20.0,2,-33.76680690000001,150.905298,0,0,0,685.0
55,12150,Kings Park,38.0,32.0,44,-33.7457198,150.9047417,0,0,0,713.0
56,10014,Acacia Gardens,38.0,20.0,44,-33.7322,150.917,0,0,0,0.0
57,13286,Quakers Hill,38.0,20.0,44,-33.7241591,150.8889765,0,0,0,0.0
58,12485,Marayong,38.0,44.0,20,-33.7495256,150.8929227,0,0,0,633.0
59,14381,Woodcroft,44.0,20.0,14,-33.759,150.878,0,0,0,0.0
60,11275,Doonside,44.0,2.0,20,-33.7639837,150.8696588,0,0,0,0.0
61,13518,Seven Hills,45.0,38.0,20,-33.7779167,150.931946,0,0,0,732.0
62,12261,Lalor Park,2.0,44.0,32,-33.7666,150.9277,0,0,0,650.0
63,12149,Kings Langley,32.0,24.0,7,-33.7499763,150.9345044,0,0,0,919.0
64,13907,Toongabbie,45.0,19.0,20,-33.7841326,150.95429,0,0,0,800.0
65,13266,Prospect,2.0,20.0,45,-33.7981153,150.9176528,0,0,0,780.0
66,11682,Glenwood,38.0,20.0,44,-33.7398598,150.9385702,0,0,0,992.0
67,13153,Parklea,20.0,38.0,44,-33.7291,150.919,0,0,0,866.0
68,13649,Stanhope Gardens,20.0,44.0,32,-33.723,150.926,0,0,0,890.0
69,12089,Kellyville Ridge,38.0,20.0,32,-33.703,150.919,0,0,0,972.0
70,13835,The Ponds,38.0,20.0,19,-33.703,150.909,0,0,0,0.0
71,13368,Riverstone,31.0,24.0,38,-33.6819,150.8594,0,0,0,725.0
72,13502,Schofields,20.0,38.0,31,-33.7,150.8833,0,0,0,0.0
73,13524,Shanes Park,31.0,7.0,2,-33.71118,150.77224,0,0,0,0.0
74,12505,Marsden Park,31.0,38.0,44,-33.68908,150.80285,0,0,0,695.0
75,10965,Colebee,20.0,44.0,38,-33.721,150.855,0,0,0,930.0
