,MB_CODE_2016,SSC_CODE_2016,SSC_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
0,10310310000,12402,Lower Boro,1,New South Wales,38.6513
3,11204634100,13062,Oallen,1,New South Wales,119.0986
8,10576170000,10547,Braidwood,1,New South Wales,4.9363
42,10576540000,12452,Majors Creek (NSW),1,New South Wales,11.1294
49,10576520000,10070,Araluen (NSW),1,New South Wales,10.9617
50,10576530000,10306,Berlang,1,New South Wales,2.9971
53,10575830000,12677,Monga,1,New South Wales,2.4127
56,10576510000,12928,Neringla,1,New South Wales,17.2516
58,10576650000,13021,Northangera,1,New South Wales,10.6439
73,11205841800,13348,Reidsdale,1,New South Wales,39.8985
86,10576590000,12144,Kindervale,1,New South Wales,43.3951
87,10576600000,12015,Jerrabattgulla,1,New South Wales,3.7835
88,10576630000,10292,Bendoura,1,New South Wales,13.866
89,10576640000,10456,Bombay,1,New South Wales,8.6043
90,10996260000,11855,Harolds Cross,1,New South Wales,4.7553
95,10575330000,14433,Wyanbene,1,New South Wales,13.6598
99,10575060000,12031,Jinden,1,New South Wales,36.0945
103,10575070000,13566,Snowball,1,New South Wales,23.3788
105,10575210000,11893,Hereford Hall,1,New South Wales,29.9348
107,10575010000,12007,Jembaicumbene,1,New South Wales,42.6563
111,10575190000,11494,Farringdon,1,New South Wales,17.6255
125,11205186300,12203,Krawarree,1,New South Wales,106.2226
136,11207060000,10158,Ballalaba,1,New South Wales,43.7739
143,10575480000,10514,Boro,1,New South Wales,22.7637
144,10996020000,11334,Durran Durra,1,New South Wales,2.1481
145,10575690000,12497,Marlowe,1,New South Wales,8.1623
146,10575600000,12532,Mayfield (Queanbeyan-Palerang Regional - NSW),1,New South Wales,30.8302
148,10575470000,14172,Warri,1,New South Wales,58.0332
151,11208290000,12277,Larbert,1,New South Wales,86.9036
152,10575460000,12462,Manar,1,New South Wales,43.5983
153,10576720000,13893,Tomboye,1,New South Wales,83.8798
156,10576760000,11066,Corang,1,New South Wales,13.5276
157,10576770000,12930,Nerriga,1,New South Wales,122.065
159,10575100000,10126,Back Creek (Queanbeyan-Palerang Regional - NSW),1,New South Wales,39.2653
162,11204961500,12678,Mongarlowe,1,New South Wales,15.4161
163,10995920000,14347,Wog Wog (Queanbeyan-Palerang Regional - NSW),1,New South Wales,14.4839
171,10995950000,10636,Budawang,1,New South Wales,3.6223
176,11209550000,10886,Charleys Forest,1,New South Wales,77.634
180,10640640000,12071,Karabar,1,New South Wales,0.0385
